34.37,0.51,49.53,32.12,6.12,29.11,0.01,3.45,10.45,2.44,7.8,0.38,0.08,0.23,0.03,22.65,2.59,0.07,1.91,0.23,20.23,13.26,0.14,0.44,7.23,8.51,2.32,0.0,0.05,0.26
35.54,0.25,48.88,33.77,6.58,28.79,0.01,3.43,10.74,2.27,7.59,0.44,0.04,0.19,0.02,22.37,2.79,0.0,3.86,0.1,18.52,12.72,0.1,0.85,7.14,8.86,2.27,0.01,0.0,0.2
31.45,0.24,49.62,32.76,4.16,28.67,0.0,3.58,10.7,2.13,6.87,0.3,0.05,0.23,0.04,21.9,2.73,0.0,2.33,0.13,18.17,14.21,0.14,0.99,7.53,11.15,1.42,0.03,0.0,0.98
27.63,0.21,49.31,30.34,5.41,26.81,0.0,3.5,10.65,2.18,6.23,0.15,0.04,0.25,0.03,21.79,2.6,0.02,2.13,0.47,17.27,17.22,0.54,0.73,7.09,11.28,1.48,0.0,0.03,2.66
29.08,0.2,49.28,26.79,8.29,27.21,0.0,1.31,10.4,2.21,5.92,0.04,0.05,0.24,0.02,20.86,2.31,0.0,2.27,0.31,15.31,17.46,0.1,0.26,7.3,9.15,1.44,0.0,0.02,2.33
30.33,0.22,48.62,26.72,6.55,26.83,0.0,0.03,10.39,1.99,5.73,0.02,0.05,0.67,0.06,20.29,2.47,0.0,2.38,0.39,13.86,15.23,0.6,0.05,6.68,11.14,1.61,0.0,0.02,1.84
29.39,0.23,48.36,31.08,4.39,27.09,0.0,0.04,9.89,0.24,5.55,0.03,0.06,0.36,0.05,17.87,2.67,0.0,2.41,0.22,12.24,13.06,0.69,0.15,6.96,9.26,1.81,0.0,0.01,1.68
31.44,0.26,48.37,24.63,9.0,28.46,0.0,0.11,8.35,0.27,6.2,0.03,0.05,0.28,0.07,15.3,2.22,0.03,2.59,0.11,14.11,11.32,2.81,0.04,7.58,10.14,1.74,0.0,0.0,1.26
30.89,0.24,48.15,24.12,8.08,25.47,0.0,0.2,8.23,0.24,7.24,0.03,0.05,0.14,0.07,14.09,1.97,0.0,2.86,0.1,16.75,9.8,0.66,0.06,8.55,11.6,1.58,0.0,0.0,1.39
29.78,0.3,48.51,24.18,8.42,25.83,0.0,0.14,7.92,0.16,8.61,0.02,0.04,0.1,0.04,15.51,2.1,0.02,2.83,0.13,18.74,9.11,0.0,0.16,8.84,11.31,1.57,0.0,0.0,1.35
